search_term,product_name,unit_size,price,store,date,clean_price,normalized_qty,unit_type,unit_uncertain,price_per_unit,brand_type,category,scraper_error,name_match_uncertain
Bananas,"Bananas, per lb",avg. 0.33 lb/piece  ($0.49/lb),$0.16,Aldi,2026-02-03,0.16,5.28,oz,False,0.030303,National,Produce,False,False
Chicken Breast,"Kirkwood Split Chicken Breasts, per lb",avg. 2.7 lb/package  ($1.99/lb),$5.37,Aldi,2026-02-03,5.37,43.2,oz,False,0.124306,National,Meat,False,False
Dish Soap,"Power Force Original Dishwashing Liquid Detergent, 24 fl oz",24 fl oz,$2.35,Aldi,2026-02-03,2.35,24.0,oz,False,0.097917,National,Household,False,False
Gala Apples,"Gala Apples, 3 lb",3 lb,$1.99,Aldi,2026-02-03,1.99,48.0,oz,False,0.041458,National,Produce,False,False
Ground Beef 80/20,"Fresh  80% Lean 20% Fat Ground Beef Patties, 4 count",avg. 1.33 lb/package  ($5.59/lb),$7.43,Aldi,2026-02-03,7.43,21.28,oz,False,0.349154,National,Meat,False,False
Iceberg Lettuce,"Iceberg Lettuce, each",1 each,$2.09,Aldi,2026-02-03,2.09,1.0,count,False,2.09,National,Produce,False,False
Large Eggs (12 count),"Goldhen Free  Range Large Brown Grade A Eggs, 12 count",12 ct,$4.25,Aldi,2026-02-03,4.25,12.0,count,False,0.354167,Private,Dairy,False,False
Salted Butter,"Countryside Creamery Salted Butter Sticks, 1 lb",16 oz,$3.29,Aldi,2026-02-03,3.29,16.0,oz,False,0.205625,National,Dairy,False,False
Spaghetti Pasta,"Bon Italia Spaghetti Rings with Meatballs, 15 oz Can",15 oz,$1.09,Aldi,2026-02-03,1.09,15.0,oz,False,0.072667,National,Pantry,False,False
Tomato Sauce,"Happy Harvest Tomato Sauce, 8 oz",8 oz,$0.55,Aldi,2026-02-03,0.55,8.0,oz,False,0.06875,National,Pantry,False,False
White Bread,"L'oven Fresh White Bread,  20 oz",20 oz,$1.55,Aldi,2026-02-03,1.55,20.0,oz,False,0.0775,National,Pantry,False,False
Whole Milk,"Friendly Farms Whole Milk, 0.5 gal",0.5 gal,$2.25,Aldi,2026-02-03,2.25,64.0,oz,False,0.035156,Private,Dairy,False,False
Bananas,Publix Green Banana,About 0.4 lb each,Current price: $0.28 each (estimated),Publix,2026-02-03,0.3,6.4,oz,False,0.046875,Private,Produce,False,False
Chicken Breast,Publix Just Bare Brand Boneless Skinless Chicken Breast Fillets,1.13 lb,Current price: $9.43,Publix,2026-02-03,9.43,18.08,oz,False,0.521571,National,Meat,False,False
Dish Soap,"Publix Dawn Ultra Dishwashing Liquid Dish Soap, Original Scent",7.5 fl oz,Current price: $2.09,Publix,2026-02-03,2.13,7.5,oz,False,0.284,Private,Household,False,False
Gala Apples,Publix Gala Apple,About 0.54 lb each,Current price: $1.59 each (estimated),Publix,2026-02-03,1.63,8.64,oz,False,0.188657,Private,Produce,False,False
Ground Beef 80/20,Publix Publix Market Ground Beef,About 1.15 lb / package,Current price: $8.91 per package (estimated),Publix,2026-02-03,8.87,18.4,oz,False,0.482065,Private,Meat,False,False
Iceberg Lettuce,Publix Iceberg Lettuce,,Current price: $2.97,Publix,2026-02-03,2.97,16,oz,True,0.185625,Private,Produce,False,False
Large Eggs (12 count),"Publix Publix Eggs, Large",12 ct,Current price: $2.43,Publix,2026-02-03,2.45,12.0,count,False,0.204167,Private,Dairy,False,False
Salted Butter,"Publix Publix Butter, Salted, Sweet Cream",8 oz,Current price: $3.87,Publix,2026-02-03,3.87,8.0,oz,False,0.48375,Private,Dairy,False,False
Spaghetti Pasta,"Publix Publix Spaghetti, Thin",16 oz,Current price: $1.37,Publix,2026-02-03,1.37,16.0,oz,False,0.085625,Private,Pantry,False,False
Tomato Sauce,Publix Contadina Tomato Sauce,14.5 oz,Current price: $1.97,Publix,2026-02-03,1.97,14.5,oz,False,0.135862,National,Pantry,False,False
White Bread,"Publix Publix Bread, Enriched, Large White",20 oz,Current price: $2.65,Publix,2026-02-03,2.65,20.0,oz,False,0.1325,Private,Pantry,False,False
Whole Milk,"Publix Publix Milk, Whole",,Current price: $2.43,Publix,2026-02-03,2.42,64,oz,True,0.037812,Private,Dairy,False,False
Bananas,"Walmart Fresh Banana, Each",Each,$0.20,Walmart,2026-02-03,0.17,1.0,count,False,0.17,National,Produce,False,False
Chicken Breast,"Walmart Sanderson Farms Fresh Boneless Skinless Chicken Breast Fillets, 25g Protein, 4oz 112g, 1.6 - 3.05lb",1.6 - 3.05lb,$9.74,Walmart,2026-02-03,9.74,25.6,oz,False,0.380469,National,Meat,False,False
Dish Soap,"Walmart Dawn Ultra Liquid Dish Soap, Dishwashing Liquid, Grease Removal, Original, 5.8oz",5.8oz,$0.97,Walmart,2026-02-03,0.97,5.8,oz,False,0.167241,National,Household,False,False
Gala Apples,"Walmart Fresh Gala Apple, Each",Each,$0.73,Walmart,2026-02-03,0.73,1.0,count,False,0.73,National,Produce,False,False
Ground Beef 80/20,"Walmart 80% Lean / 20% Fat Ground Beef Chuck, 1 lb Roll, Fresh, All Natural*",All Natural*,$6.83,Walmart,2026-02-03,6.83,16,oz,False,0.426875,National,Meat,False,False
Iceberg Lettuce,"Walmart Marketside Fresh Shredded Iceberg Lettuce, 8 oz, Bag",Bag,$1.97,Walmart,2026-02-03,1.97,8,oz,False,0.24625,National,Produce,False,False
Large Eggs (12 count),"Walmart Great Value Extra Large White Eggs, 12 Count",12 Count,$2.22,Walmart,2026-02-03,2.22,12.0,count,False,0.185,National,Dairy,False,False
Salted Butter,"Walmart Land O Lakes Salted Butter in Half Sticks, 4 Half Sticks, 8 oz Pack",8 oz Pack,$2.86,Walmart,2026-02-03,2.86,8.0,count,False,0.3575,National,Dairy,False,False
Spaghetti Pasta,"Walmart Great Value Spaghetti, 16 oz",16 oz,$0.98,Walmart,2026-02-03,0.98,16.0,oz,False,0.06125,National,Pantry,False,False
Tomato Sauce,"Walmart Great Value Tomato Sauce, 8 oz Can",8 oz Can,$0.48,Walmart,2026-02-03,0.48,8.0,oz,False,0.06,National,Pantry,False,False
White Bread,"Walmart Great Value White Sandwich Bread, 20 oz",20 oz,$1.54,Walmart,2026-02-03,1.54,20.0,oz,False,0.077,National,Pantry,False,False
Whole Milk,"Walmart Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",128 fl oz,$3.38,Walmart,2026-02-03,3.38,128.0,oz,False,0.026406,National,Dairy,False,False
Bananas,"Bananas, per lb",avg. 0.33 lb/piece  ($0.49/lb),$0.16,Aldi,2026-02-04,0.15,5.28,oz,False,0.028409,National,Produce,False,False
Chicken Breast,"Kirkwood Split Chicken Breasts, per lb",avg. 2.7 lb/package  ($1.99/lb),$5.37,Aldi,2026-02-04,5.39,43.2,oz,False,0.124769,National,Meat,False,False
Dish Soap,"Power Force Original Dishwashing Liquid Detergent, 24 fl oz",24 fl oz,$2.35,Aldi,2026-02-04,2.4,24.0,oz,False,0.1,National,Household,False,False
Gala Apples,"Gala Apples, 3 lb",3 lb,$1.99,Aldi,2026-02-04,1.95,48.0,oz,False,0.040625,National,Produce,False,False
Ground Beef 80/20,"Fresh  80% Lean 20% Fat Ground Beef Patties, 4 count",avg. 1.33 lb/package  ($5.59/lb),$7.43,Aldi,2026-02-04,7.47,21.28,oz,False,0.351034,National,Meat,False,False
Iceberg Lettuce,"Iceberg Lettuce, each",1 each,$2.09,Aldi,2026-02-04,2.09,1.0,count,False,2.09,National,Produce,False,False
Large Eggs (12 count),"Goldhen Free  Range Large Brown Grade A Eggs, 12 count",12 ct,$4.25,Aldi,2026-02-04,4.27,12.0,count,False,0.355833,Private,Dairy,False,False
Salted Butter,"Countryside Creamery Salted Butter Sticks, 1 lb",16 oz,$3.29,Aldi,2026-02-04,3.32,16.0,oz,False,0.2075,National,Dairy,False,False
Spaghetti Pasta,"Bon Italia Spaghetti Rings with Meatballs, 15 oz Can",15 oz,$1.09,Aldi,2026-02-04,1.1,15.0,oz,False,0.073333,National,Pantry,False,False
Tomato Sauce,"Happy Harvest Tomato Sauce, 8 oz",8 oz,$0.55,Aldi,2026-02-04,0.59,8.0,oz,False,0.07375,National,Pantry,False,False
White Bread,"L'oven Fresh White Bread,  20 oz",20 oz,$1.55,Aldi,2026-02-04,1.57,20.0,oz,False,0.0785,National,Pantry,False,False
Whole Milk,"Friendly Farms Whole Milk, 0.5 gal",0.5 gal,$2.25,Aldi,2026-02-04,2.26,64.0,oz,False,0.035312,Private,Dairy,False,False
Bananas,Publix Green Banana,About 0.4 lb each,Current price: $0.28 each (estimated),Publix,2026-02-04,0.26,6.4,oz,False,0.040625,Private,Produce,False,False
Chicken Breast,Publix Just Bare Brand Boneless Skinless Chicken Breast Fillets,1.13 lb,Current price: $9.43,Publix,2026-02-04,9.4,18.08,oz,False,0.519912,National,Meat,False,False
Dish Soap,"Publix Dawn Ultra Dishwashing Liquid Dish Soap, Original Scent",7.5 fl oz,Current price: $2.09,Publix,2026-02-04,2.06,7.5,oz,False,0.274667,Private,Household,False,False
Gala Apples,Publix Gala Apple,About 0.54 lb each,Current price: $1.59 each (estimated),Publix,2026-02-04,1.62,8.64,oz,False,0.1875,Private,Produce,False,False
Ground Beef 80/20,Publix Publix Market Ground Beef,About 1.15 lb / package,Current price: $8.91 per package (estimated),Publix,2026-02-04,8.93,18.4,oz,False,0.485326,Private,Meat,False,False
Iceberg Lettuce,Publix Iceberg Lettuce,,Current price: $2.97,Publix,2026-02-04,2.97,16,oz,True,0.185625,Private,Produce,False,False
Large Eggs (12 count),"Publix Publix Eggs, Large",12 ct,Current price: $2.43,Publix,2026-02-04,2.48,12.0,count,False,0.206667,Private,Dairy,False,False
Salted Butter,"Publix Publix Butter, Salted, Sweet Cream",8 oz,Current price: $3.87,Publix,2026-02-04,3.75,8.0,oz,False,0.46875,Private,Dairy,False,False
Spaghetti Pasta,"Publix Publix Spaghetti, Thin",16 oz,Current price: $1.37,Publix,2026-02-04,1.41,16.0,oz,False,0.088125,Private,Pantry,False,False
Tomato Sauce,Publix Contadina Tomato Sauce,14.5 oz,Current price: $1.97,Publix,2026-02-04,1.9,14.5,oz,False,0.131034,National,Pantry,False,False
White Bread,"Publix Publix Bread, Enriched, Large White",20 oz,Current price: $2.65,Publix,2026-02-04,2.69,20.0,oz,False,0.1345,Private,Pantry,False,False
Whole Milk,"Publix Publix Milk, Whole",,Current price: $2.43,Publix,2026-02-04,2.46,64,oz,True,0.038437,Private,Dairy,False,False
Bananas,"Walmart Fresh Banana, Each",Each,$0.20,Walmart,2026-02-04,0.16,1.0,count,False,0.16,National,Produce,False,False
Chicken Breast,"Walmart Sanderson Farms Fresh Boneless Skinless Chicken Breast Fillets, 25g Protein, 4oz 112g, 1.6 - 3.05lb",1.6 - 3.05lb,$9.74,Walmart,2026-02-04,9.76,25.6,oz,False,0.38125,National,Meat,False,False
Dish Soap,"Walmart Dawn Ultra Liquid Dish Soap, Dishwashing Liquid, Grease Removal, Original, 5.8oz",5.8oz,$0.97,Walmart,2026-02-04,1.01,5.8,oz,False,0.174138,National,Household,False,False
Gala Apples,"Walmart Fresh Gala Apple, Each",Each,$0.73,Walmart,2026-02-04,0.7,1.0,count,False,0.7,National,Produce,False,False
Ground Beef 80/20,"Walmart 80% Lean / 20% Fat Ground Beef Chuck, 1 lb Roll, Fresh, All Natural*",All Natural*,$6.83,Walmart,2026-02-04,6.81,16,oz,False,0.425625,National,Meat,False,False
Iceberg Lettuce,"Walmart Marketside Fresh Shredded Iceberg Lettuce, 8 oz, Bag",Bag,$1.97,Walmart,2026-02-04,2.0,8,oz,False,0.25,National,Produce,False,False
Large Eggs (12 count),"Walmart Great Value Extra Large White Eggs, 12 Count",12 Count,$2.22,Walmart,2026-02-04,2.23,12.0,count,False,0.185833,National,Dairy,False,False
Salted Butter,"Walmart Land O Lakes Salted Butter in Half Sticks, 4 Half Sticks, 8 oz Pack",8 oz Pack,$2.86,Walmart,2026-02-04,2.9,8.0,count,False,0.3625,National,Dairy,False,False
Spaghetti Pasta,"Walmart Great Value Spaghetti, 16 oz",16 oz,$0.98,Walmart,2026-02-04,0.94,16.0,oz,False,0.05875,National,Pantry,False,False
Tomato Sauce,"Walmart Great Value Tomato Sauce, 8 oz Can",8 oz Can,$0.48,Walmart,2026-02-04,0.49,8.0,oz,False,0.06125,National,Pantry,False,False
White Bread,"Walmart Great Value White Sandwich Bread, 20 oz",20 oz,$1.54,Walmart,2026-02-04,1.49,20.0,oz,False,0.0745,National,Pantry,False,False
Whole Milk,"Walmart Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",128 fl oz,$3.38,Walmart,2026-02-04,3.34,128.0,oz,False,0.026094,National,Dairy,False,False
Bananas,"Bananas, per lb",avg. 0.33 lb/piece  ($0.49/lb),$0.16,Aldi,2026-02-05,0.12,5.28,oz,False,0.022727,National,Produce,False,False
Chicken Breast,"Kirkwood Split Chicken Breasts, per lb",avg. 2.7 lb/package  ($1.99/lb),$5.37,Aldi,2026-02-05,5.34,43.2,oz,False,0.123611,National,Meat,False,False
Dish Soap,"Power Force Original Dishwashing Liquid Detergent, 24 fl oz",24 fl oz,$2.35,Aldi,2026-02-05,2.33,24.0,oz,False,0.097083,National,Household,False,False
Gala Apples,"Gala Apples, 3 lb",3 lb,$1.99,Aldi,2026-02-05,2.0,48.0,oz,False,0.041667,National,Produce,False,False
