search_term,product_name,unit_size,price,store,date
eggs,"Goldhen Cage  Free Large Eggs - Grade A, 1 dozen",12 ct,$3.19,Aldi,2026-01-22
eggs,"Goldhen Free  Range Large Brown Grade A Eggs, 12 count",12 ct,$4.25,Aldi,2026-01-22
eggs,"Goldhen Liquid  Egg Whites, 32 oz",32 oz,$5.29,Aldi,2026-01-22
eggs,"Goldhen Grade  A Large White Eggs, 1 dozen",12 ct,$2.19,Aldi,2026-01-22
eggs,"Goldhen Pasture Raised Large Brown Eggs Grade A, 12 count",12 ct,$4.35,Aldi,2026-01-22
bread,"Simply Nature Organic  Graintastic Thin-sliced Bread, 20.4 oz",20.4 oz,$3.85,Aldi,2026-01-22
bread,"Simply Nature Organic  Seedtastic Thin-Sliced Bread, 20.4 oz",20 oz,$3.85,Aldi,2026-01-22
bread,"Simply Nature Graintastic Organic  Bread, 27 oz",27 oz,$4.39,Aldi,2026-01-22
bread,"Simply Nature Sprouted 7 Grain Bread, 16 oz",16 oz,$3.95,Aldi,2026-01-22
bread,"Simply Nature Low Sodium Sprouted 7 Grain Bread, 16 oz",16 oz,$3.95,Aldi,2026-01-22
milk,"Friendly Farms 1% Milk, 64 fl oz",0.5 gal,$2.25,Aldi,2026-01-22
milk,"Friendly Farms 2% Milk, 1 gal",1 gal,$3.75,Aldi,2026-01-22
milk,"Friendly Farms Whole Milk, 0.5 gal",0.5 gal,$2.25,Aldi,2026-01-22
milk,"Simply Nature Organic Whole Milk, 64 fl oz",64 fl oz,$4.25,Aldi,2026-01-22
milk,"Friendly Farms Whole  Milk, 1 gal",1 gal,$3.75,Aldi,2026-01-22
