search_term,product_name,unit_size,price,store,date,clean_price,normalized_qty,unit_type,unit_uncertain,price_per_unit,brand_type,category
milk,"Simply Nature Organic Whole Milk, 64 fl oz",64 fl oz,$4.25,Aldi,2026-02-03,4.25,64.0,oz,False,0.066406,Private,Dairy
milk,"Friendly Farms 1% Milk, 64 fl oz",0.5 gal,$2.25,Aldi,2026-02-03,2.25,64.0,oz,False,0.035156,Private,Dairy
milk,"Simply Nature Organic 2% Milk, 64 fl oz",64 fl oz,$4.25,Aldi,2026-02-03,4.25,64.0,oz,False,0.066406,Private,Dairy
milk,"Friendly Farms 2% Milk, 64 fl oz",0.5 gal,$2.25,Aldi,2026-02-03,2.25,64.0,oz,False,0.035156,Private,Dairy
milk,"Simply Nature Organic Whole Omega-3 Milk, 64 fl oz",64 fl oz,$4.85,Aldi,2026-02-03,4.85,64.0,oz,False,0.075781,Private,Dairy
eggs,"Goldhen Cage  Free Large Eggs - Grade A, 1 dozen",12 ct,$3.19,Aldi,2026-02-03,3.19,12.0,count,False,0.265833,Private,Dairy
eggs,"Goldhen Free  Range Large Brown Grade A Eggs, 12 count",12 ct,$4.25,Aldi,2026-02-03,4.25,12.0,count,False,0.354167,Private,Dairy
eggs,"Goldhen Grade  A Large White Eggs, 1 dozen",12 ct,$2.19,Aldi,2026-02-03,2.19,12.0,count,False,0.1825,Private,Dairy
eggs,"Goldhen Pasture Raised Large Brown Eggs Grade A, 12 count",12 ct,$4.35,Aldi,2026-02-03,4.35,12.0,count,False,0.3625,Private,Dairy
eggs,"Simply Nature Organic  Cage Free Brown Eggs, 1 dozen",12 ct,$4.69,Aldi,2026-02-03,4.69,12.0,count,False,0.390833,Private,Dairy
bread,"Simply Nature Organic  Graintastic Thin-sliced Bread, 20.4 oz",20.4 oz,$3.85,Aldi,2026-02-03,3.85,20.4,oz,False,0.188725,Private,Pantry
bread,"Simply Nature Organic  Seedtastic Thin-Sliced Bread, 20.4 oz",20 oz,$3.85,Aldi,2026-02-03,3.85,20.0,oz,False,0.1925,Private,Pantry
bread,"Simply Nature Graintastic Organic  Bread, 27 oz",27 oz,$4.39,Aldi,2026-02-03,4.39,27.0,oz,False,0.162593,Private,Pantry
bread,"Simply Nature Sprouted 7 Grain Bread, 16 oz",16 oz,$3.95,Aldi,2026-02-03,3.95,16.0,oz,False,0.246875,Private,Pantry
bread,"Simply Nature Low Sodium Sprouted 7 Grain Bread, 16 oz",16 oz,$3.95,Aldi,2026-02-03,3.95,16.0,oz,False,0.246875,Private,Pantry
milk,Publix Organic Valley® Grassmilk® Organic Whole Milk,59 fl oz,Current price: $8.19,Publix,2026-02-03,8.19,59.0,oz,False,0.138814,Private,Dairy
milk,"Publix Horizon Organic Whole Milk, 64 fl oz Half Gallon Carton",64 fl oz,Current price: $6.87,Publix,2026-02-03,6.87,64.0,oz,False,0.107344,Private,Dairy
milk,"Publix Publix Milk, Whole",64 oz,Current price: $3.23,Publix,2026-02-03,3.23,64.0,oz,False,0.050469,Private,Dairy
milk,Publix Horizon Organic DHA Omega-3 Vitamin D Organic Whole Milk,64 fl oz,Current price: $7.41,Publix,2026-02-03,7.41,64.0,oz,False,0.115781,Private,Dairy
milk,"Publix Horizon Organic DHA Omega-3 2% Reduced Fat Milk, 64 fl oz Half Gallon Carton",0.5 gal,Current price: $7.41,Publix,2026-02-03,7.41,64.0,oz,False,0.115781,Private,Dairy
eggs,"Publix Nellies Eggs, Free Range, Grade A, Brown, Extra Large",18 ct,Current price: $9.09,Publix,2026-02-03,9.09,18.0,count,False,0.505,Private,Dairy
eggs,Publix Nellies Free Range Eggs,12 ct,Current price: $6.09,Publix,2026-02-03,6.09,12.0,count,False,0.5075,Private,Dairy
eggs,"Publix Publix Eggs, Large",30 ct,Current price: $7.97,Publix,2026-02-03,7.97,30.0,count,False,0.265667,Private,Dairy
eggs,"Publix Eggland's Best Cage Free Hard Cooked Eggs, 6 count",6 ct,Current price: $5.31,Publix,2026-02-03,5.31,6.0,count,False,0.885,Private,Dairy
eggs,"Publix Eggland's Best Hard Cooked Eggs, Medium White, 6 count",6 ct,Current price: $4.41,Publix,2026-02-03,4.41,6.0,count,False,0.735,Private,Dairy
bread,"Publix Publix Bread, Honey Wheat",20 oz,Current price: $3.31,Publix,2026-02-03,3.31,20.0,oz,False,0.1655,Private,Pantry
bread,"Publix Publix Bread, Buttercrust",20 oz,Current price: $3.15,Publix,2026-02-03,3.15,20.0,oz,False,0.1575,Private,Pantry
bread,"Publix New York Bakery Bread Sticks, Real Garlic",6 ct,Current price: $3.71,Publix,2026-02-03,3.71,6.0,count,False,0.618333,Private,Pantry
bread,"Publix Publix Bread, White Sandwich",20 oz,Current price: $3.31,Publix,2026-02-03,3.31,20.0,oz,False,0.1655,Private,Pantry
bread,"Publix Publix Bread, 100% Whole Wheat",20 oz,Current price: $3.31,Publix,2026-02-03,3.31,20.0,oz,False,0.1655,Private,Pantry
