search_term,product_name,unit_size,price,store,date
eggs,"Goldhen Cage  Free Large Eggs - Grade A, 1 dozen",12 ct,$3.19,Aldi,2026-01-23
eggs,"Goldhen Free  Range Large Brown Grade A Eggs, 12 count",12 ct,$4.25,Aldi,2026-01-23
eggs,"Goldhen Liquid  Egg Whites, 32 oz",32 oz,$5.29,Aldi,2026-01-23
eggs,"Goldhen Grade  A Large White Eggs, 1 dozen",12 ct,$2.19,Aldi,2026-01-23
eggs,"Goldhen Pasture Raised Large Brown Eggs Grade A, 12 count",12 ct,$4.35,Aldi,2026-01-23
bread,"Simply Nature Organic  Graintastic Thin-sliced Bread, 20.4 oz",20.4 oz,$3.85,Aldi,2026-01-23
bread,"Simply Nature Organic  Seedtastic Thin-Sliced Bread, 20.4 oz",20 oz,$3.85,Aldi,2026-01-23
bread,"Simply Nature Graintastic Organic  Bread, 27 oz",27 oz,$4.39,Aldi,2026-01-23
bread,"Simply Nature Sprouted 7 Grain Bread, 16 oz",16 oz,$3.95,Aldi,2026-01-23
bread,"Simply Nature Low Sodium Sprouted 7 Grain Bread, 16 oz",16 oz,$3.95,Aldi,2026-01-23
milk,"Friendly Farms 1% Milk, 64 fl oz",0.5 gal,$2.25,Aldi,2026-01-23
milk,"Simply Nature Organic Whole Milk, 64 fl oz",64 fl oz,$4.25,Aldi,2026-01-23
milk,"Friendly Farms Whole Milk, 0.5 gal",0.5 gal,$2.25,Aldi,2026-01-23
milk,"Friendly Farms 2% Milk, 64 fl oz",0.5 gal,$2.25,Aldi,2026-01-23
milk,"Friendly Farms Skim Milk, 64 fl oz",0.5 gal,$2.25,Aldi,2026-01-23
eggs,Publix GreenWise Organic Large Brown Eggs,12 ct,Current price: $6.31,Publix,2026-01-23
eggs,"Publix Eggland's Best Classic Large White Eggs, 18 count",18 ct,Current price: $4.59,Publix,2026-01-23
eggs,Publix Vital Farms 18 ct Pasture Raised Large Grade A Eggs,18 ct,Current price: $15.49,Publix,2026-01-23
eggs,"Publix Publix Eggs, Large",30 ct,Current price: $5.57,Publix,2026-01-23
eggs,"Publix Eggland's Best Cage Free Large Brown Eggs, 18 count",18 ct,Current price: $8.85,Publix,2026-01-23
bread,"Publix Publix Bread, Honey Wheat",20 oz,Current price: $3.31,Publix,2026-01-23
bread,Publix Publix Bakery Sourdough Round Bread,16 oz,Current price: $5.75,Publix,2026-01-23
bread,Publix Publix Bakery Cuban Bread,12 oz,Current price: $3.53,Publix,2026-01-23
bread,"Publix Publix Bread, White, Old Fashioned, Enriched",20 oz,Current price: $2.31,Publix,2026-01-23
bread,"Publix GreenWise Wheat Bread, Seeded",18 oz,Current price: $5.31,Publix,2026-01-23
milk,"Publix Publix Milk, Reduced Fat, 2% Milkfat",1 gal,Current price: $3.93,Publix,2026-01-23
milk,"Publix Publix Milk, Reduced Fat, 2% Milkfat",64 oz,Current price: $2.97,Publix,2026-01-23
milk,"Publix Publix Milk, Lowfat, 1% Milkfat",1 gal,Current price: $3.93,Publix,2026-01-23
milk,"Publix Publix Milk, Fat Free",1 gal,Current price: $3.93,Publix,2026-01-23
milk,"Publix fairlife 2% Reduced Fat Ultra-Filtered Milk, Lactose Free",52 fl oz,Current price: $6.09,Publix,2026-01-23
eggs,"Walmart Great Day Farms Hard-Boiled Eggs, 9 oz, 6 Count",6 Count,$3.97,Walmart,2026-01-23
eggs,"Walmart Sunny Fresh Cage Free Selections Whole Eggs with Citric Acid, 2 Pound -- 12 per case.",2 Pound -- 12 per case.,$207.75,Walmart,2026-01-23
eggs,"Walmart Augason Farms Pasteurized Dried Whole Egg Powder Resealable Pouch, Real Eggs, Emergency Food Supply, Everyday Meals, 24 Servings",24 Servings,$32.98,Walmart,2026-01-23
eggs,"Walmart Organic Valley Whole Plain Pasturized Egg, 30 Pound Pail -- 1 each",30 Pound Pail -- 1 each,$250.37,Walmart,2026-01-23
eggs,"Walmart Sunny Fresh Golden Nature Liquid Whole Egg, 5 Pound -- 6 per case",5 Pound -- 6 per case,$164.94,Walmart,2026-01-23
bread,"Walmart Dave's Killer Bread Super Cinna Roll Crunchy Snack Bites, 7.2 oz",7.2 oz,$4.97,Walmart,2026-01-23
bread,"Walmart Freshness Guaranteed French Bakery Bread Loaf, 14 oz, 1 Count",1 Count,$1.62,Walmart,2026-01-23
bread,"Walmart Freshness Guaranteed Sliced Italian Bread, 14 oz",14 oz,$1.62,Walmart,2026-01-23
bread,"Walmart Freshness Guaranteed Italian Bread Loaf, 14 oz",14 oz,$1.62,Walmart,2026-01-23
bread,"Walmart Freshness Guaranteed Sliced Plain French Bread, 14 oz",14 oz,$1.62,Walmart,2026-01-23
milk,"Walmart Feastables Protein Fortified Chocolate Milk, Shelf-Stable, 14 fl oz, Single Bottle",Single Bottle,$2.47,Walmart,2026-01-23
milk,"Walmart Feastables Protein Fortified Chocolate Milk, Shelf-Stable, 8 fl oz, 6 Pack",6 Pack,$8.27,Walmart,2026-01-23
milk,"Walmart Pecana USDA Organic Unsweetened Vanilla Pecan Milk, 32 fl oz Carton",32 fl oz Carton,$5.68,Walmart,2026-01-23
milk,"Walmart Great Value Organic Whole Vitamin D Milk, Gallon, 128 fl oz",128 fl oz,$8.18,Walmart,2026-01-23
milk,"Walmart Horizon Organic DHA Omega-3 Whole Milk, DHA Whole, 64 fl oz Carton",64 fl oz Carton,$6.46,Walmart,2026-01-23
